"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"1","10000",40,52,8,15.6,1,1.4,42.6,491.1,24.6,"WGS84",45.893933,4.680379,"B82","E10","U111","8","mineral","FRANCE"
"2","10001",26,18,56,19.8,1,1.6,19.5,279.1,20.6,"WGS84",45.81672,4.584692,"E10","8","U370","8","mineral","FRANCE"
"3","10002",22,41,37,33.5,1,2.6,37.8,399.1,15,"WGS84",45.983716,4.671533,"E10","8","U111","8","mineral","FRANCE"
"4","10004",27,47,26,66.1,21,6.6,147.7,1080.6,30.5,"WGS84",45.908022,4.601575,"E10","8","U111","8","mineral","FRANCE"
"5","10005",16,32,52,38.1,0,2.6,49.6,293.9,7.8,"WGS84",46.082345,4.48049,"E20","8","U111","8","mineral","FRANCE"
"6","10006",16,25,59,26.5,0,2.3,56.9,115.4,10.6,"WGS84",46.173451,4.497083,"E20","8","U111","8","mineral","FRANCE"
"7","10007",14,31,56,154.8,0,5.9,25.2,361.1,12.1,"WGS84",46.224665,4.439863,"C30","8","U120","8","organic","FRANCE"
"8","10008",12,23,66,51.5,0,3,23.4,237.4,10.2,"WGS84",46.241253,4.412194,"C30","8","U120","8","mineral","FRANCE"
"9","10009",14,31,55,12.8,0,1.3,42.8,209.5,7.3,"WGS84",46.285153,4.563698,"B11","8","U111","8","mineral","FRANCE"
"10","10010",39,47,14,24.3,34,2.6,38.3,522.8,25.4,"WGS84",47.34516,5.64539,"B32","8","U111","8","mineral","FRANCE"
"11","10011",37,46,17,22.9,1,2.5,0,38,18.8,"WGS84",47.338798,5.964908,"B33","8","U111","8","mineral","FRANCE"
"12","10012",38,57,5,12.7,79,1.5,31.2,158.4,22.5,"WGS84",47.42265,5.79918,"B16","8","U111","8","mineral","FRANCE"
"13","10013",24,50,26,28.6,367,2.5,106.2,450.2,18.3,"WGS84",47.506238,5.632912,"B11","8","U111","8","mineral","FRANCE"
"14","10014",30,56,15,14.9,1,1.7,31.9,135.4,17.1,"WGS84",47.627676,5.516016,"B11","8","U111","8","mineral","FRANCE"
"15","10015",33,54,13,43.2,0,4,14.1,274.6,20.6,"WGS84",47.711145,5.802316,"E20","8","U111","8","mineral","FRANCE"
"16","10016",32,58,10,22.4,1,2.4,59.9,145.6,20.2,"WGS84",47.77007,5.931049,"B11","8","U111","8","mineral","FRANCE"
"17","10017",18,78,4,33.8,2,2.4,10.2,117.9,7.2,"WGS84",47.800378,6.276079,"C10","8","U400","8","mineral","FRANCE"
"18","10018",69,29,2,36,5,3.6,11.7,132.9,37.3,"WGS84",47.623324,6.368753,"B16","8","U111","8","mineral","FRANCE"
"19","10019",41,54,5,35.8,0,3.4,0,89.7,17.7,"WGS84",47.711444,6.309139,"C10","8","U120","8","mineral","FRANCE"
"20","10020",25,39,36,21.7,1,1.8,0,140.6,6,"WGS84",47.840796,6.406796,"C10","8","U120","8","mineral","FRANCE"
"21","10021",28,33,39,28.4,1,2.7,24.4,252.6,11.7,"WGS84",47.931506,6.427239,"E20","8","U111","8","mineral","FRANCE"
"22","10022",37,58,5,51,0,5.4,44,220.5,17.5,"WGS84",47.906368,6.214798,"E20","8","U111","8","mineral","FRANCE"
"23","10023",20,63,17,50.7,0,3.5,22.2,143.4,7.6,"WGS84",47.524411,6.109989,"C10","8","U400","8","mineral","FRANCE"
"24","10024",54,39,7,55.9,2,3.6,0,240.1,31.4,"WGS84",47.598048,6.157611,"C10","8","U120","8","mineral","FRANCE"
"25","10025",29,59,12,17.4,2,1.9,45.3,176.5,16.4,"WGS84",47.803016,5.848266,"B11","8","U111","8","mineral","FRANCE"
"26","10026",11,24,65,7.9,0,1,38.8,106.4,5.5,"WGS84",47.584369,5.786016,"B32","8","U111","8","mineral","FRANCE"
"27","10027",34,54,11,18.9,6,2,66.4,367.5,20.7,"WGS84",47.597133,5.651856,"B11","8","U111","8","mineral","FRANCE"
"28","10029",16,71,13,24.5,0,1.5,0,87.1,3.6,"WGS84",47.459634,5.822692,"C10","8","U120","8","mineral","FRANCE"
"29","10030",25,48,28,32.3,0,2.9,10.4,77.2,11.6,"WGS84",47.572433,5.946661,"E20","8","U111","8","mineral","FRANCE"
"30","10031",21,27,52,7.8,0,0.8,18.4,132.4,18.9,"WGS84",47.375739,5.988563,"B11","8","U111","8","mineral","FRANCE"
"31","10032",43,51,5,23.3,1,2.6,19.2,127.1,18.8,"WGS84",47.43746,5.71907,"B16","8","U111","8","mineral","FRANCE"
